Date,Price
15.03.2023,1441.28
14.03.2023,1517.70
13.03.2023,1476.70
10.03.2023,1362.30
09.03.2023,1374.70
08.03.2023,1362.10
07.03.2023,1370.60
06.03.2023,1424.50
03.03.2023,1449.00
02.03.2023,1444.90
01.03.2023,1437.60
28.02.2023,1420.90
27.02.2023,1427.90
24.02.2023,1387.70
23.02.2023,1430.70
22.02.2023,1488.50
21.02.2023,1522.53
20.02.2023,1508.03
19.02.2023,1481.03
17.02.2023,1492.50
16.02.2023,1525.70
15.02.2023,1444.50
